Date : 2023-03-28 19:31:17
Directory : d:\Non games\temp_nohard\jazz2stuff\jazz2
Total : 126 files,  11772 codes, 1216 comments, 2289 blanks, all 15277 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\re\hello-world\main.c                             | C                |         23 |          0 |          5 |         28 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\requirements.txt                                  | pip requirements |          2 |          0 |          1 |          3 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\scripts\STVinteract.asc                           | C++              |        129 |          1 |         26 |        156 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\scripts\STVmenu.asc                               | C++              |         54 |          3 |         17 |         74 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\scripts\STVprogress.asc                           | C++              |        325 |         96 |         66 |        487 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\scripts\STVutil.asc                               | C++              |        818 |         20 |        139 |        977 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\scripts\STVwinui.asc                              | C++              |        180 |          3 |         38 |        221 |
| d:\Non games\temp_nohard\jazz2stuff\jazz2\sprites\JazzSD.ini                                | Ini              |         38 |          0 |          1 |         39 |
| Total                                                                                       |                  |     11,772 |      1,216 |      2,289 |     15,277 |
+---------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
